Drop_point,Shipment_Mode,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight,Freight_Cost,Line_Item_Insurance,Delivery_Status,Pickup_Point
Rwanda,Air,Test kit,1500,107985.0,71.99,0.72,340.0,9479.89,172.78,Delivered Early,Others
Vietnam,Air,Others,600,900.0,1.5,0.02,,,1.44,On time,India
Haiti,Air,Test kit,2,278.0,139.0,1.39,1.0,897.52,0.44,On time,
South Africa,,Others,200,1146.0,5.73,0.1,,,1.83,Delivered Early,Others
Others,Air,Test kit,450,14400.0,32.0,1.6,155.0,1625.08,23.04,On time,
Nigeria,Air,Test kit,7301,197127.0,27.0,1.35,2093.0,16036.94,315.4,Delivered Early,
Others,Air,Others,1436,14.36,0.01,0.0,,,0.02,On time,Others
Others,Air,Test kit,1436,103377.64,71.99,0.72,327.0,6687.51,165.4,Delivered Early,Others
Zambia,Air,Others,2000,20.0,0.01,0.0,,,0.03,On time,Others
Côte d'Ivoire,Air,Test kit,659,13180.0,20.0,0.8,206.0,2358.13,25.83,On time,Others
Others,Air,Test kit,7,2450.0,350.0,3.5,17.0,587.63,3.92,On time,Others
Others,Air,Test kit,200,14398.0,71.99,0.72,46.0,1028.18,23.04,Delivered Early,Others
Nigeria,Air,Others,285,2.85,0.01,0.0,,,0.0,Delivered Early,Others
Uganda,Air,Others,850,8.5,0.01,0.0,56.0,360.0,0.01,On time,Others
Uganda,Air,Test kit,1275,34425.0,27.0,1.35,483.0,4193.88,55.08,On time,
Uganda,Air,Test kit,85,2720.0,32.0,1.6,85.0,1253.98,4.35,On time,
Côte d'Ivoire,Air,Test kit,331,25156.0,76.0,1.9,366.0,7915.98,40.25,On time,
South Africa,Truck,Tablet,1000,16400.0,16.4,0.27,,,26.24,Delivered Early,Others
South Africa,Truck,Tablet,3000,16350.0,5.45,0.09,,,26.16,On time,Others
South Africa,Truck,Others,200,978.0,4.89,0.08,,,1.56,On time,Others
South Africa,Truck,Tablet - FDC,20,723.4,36.17,1.21,,,1.16,On time,Others
Vietnam,Air,Tablet,500,12500.0,25.0,0.42,124.0,5217.59,20.0,On time,India
Vietnam,Air,Tablet,2016,27538.56,13.66,0.46,122.0,2864.44,44.06,Delivered Early,Others
Côte d'Ivoire,Air,Test kit,250,17997.5,71.99,0.72,57.0,1796.68,28.8,On time,Others
South Africa,,Tablet,100,2030.0,20.3,0.34,,,3.25,Delivered Early,Others
